GeneSym	EnsembleID	Tissue/Cell Type
MAPK14	ENSP00000229794	animal
MED15	ENSP00000263205	animal
RAB6A	ENSP00000311449	animal
GAPDH	ENSP00000229239	animal
MTDH	ENSP00000338235	animal
HDGF	ENSP00000357189	animal
MAP4	ENSP00000353375	animal
CAPZA2	ENSP00000354947	animal
LMAN1	ENSP00000251047	animal
UBE2K	ENSP00000261427	animal
RHOA	ENSP00000400175	animal
HSPD1	ENSP00000340019	animal
PDIA3	ENSP00000300289	animal
YWHAG	ENSP00000306330	animal
LGALS1	ENSP00000215909	animal
EEF1G	ENSP00000278279+ENSP00000403936	animal
LIMS1	ENSP00000331775	animal
ABHD16A	ENSP00000406965	animal
FRMD4B	ENSP00000381549	animal
MTSS1	ENSP00000322804	animal
IVD	ENSP00000249760	animal
ATP5O	ENSP00000290299	animal
ERO1LB	ENSP00000346635	animal
ADRA2A	ENSP00000280155	animal
ADRBK1	ENSP00000312262	animal
ETF1	ENSP00000353741	animal
HTR2A	ENSP00000367959	animal
ANKIB1	ENSP00000265742	animal
ANKRD12	ENSP00000262126	animal
COG5	ENSP00000297135	animal
RASA3	ENSP00000335029	animal
IPO7	ENSP00000369042	animal
NAPA	ENSP00000263354	animal
SEC13	ENSP00000312122	animal
SEPT6	ENSP00000341524	animal
TRPC6	ENSP00000340913	animal
PSMD12	ENSP00000348442	animal
RAB3GAP2	ENSP00000351832	animal
APOA1	ENSP00000236850	animal
COTL1	ENSP00000262428	animal
DSTN	ENSP00000246069	animal
GPD2	ENSP00000308610	animal
PRDX6	ENSP00000342026	animal
CAPZB	ENSP00000364287	animal
MAP1B	ENSP00000296755	animal
SEPT11	ENSP00000264893	animal
FHL1	ENSP00000359724	animal
CYB5R1	ENSP00000356218	animal
TC2N	ENSP00000343199	animal
DCXR	ENSP00000303356	animal
GLB1	ENSP00000306920	animal
RUVBL2	ENSP00000221413	animal
ISL1	ENSP00000230658	animal
TPM4	ENSP00000345230	animal
NEK2	ENSP00000355966	animal
SNAP23	ENSP00000249647	animal
CARHSP1	ENSP00000311847	animal
CMTM6	ENSP00000205636	animal
HINT1	ENSP00000304229	animal
FHOD1	ENSP00000258201	animal
S100A4	ENSP00000346294	animal
VCL	ENSP00000211998	animal
LCP2	ENSP00000046794	animal
RAB37	ENSP00000376389	animal
CERS2	ENSP00000271688	animal
PFKL	ENSP00000269848	animal
PDAP1	ENSP00000222968	animal
ABLIM1	ENSP00000338190	animal
SLC9A1	ENSP00000263980	animal
SVIL	ENSP00000348128	animal
EIF4G2	ENSP00000340281	animal
GBF1	ENSP00000359000	animal
NCK1	ENSP00000288986	animal
ZYX	ENSP00000324422	animal
ATP2A3	ENSP00000353072	animal
CLIC4	ENSP00000363500	animal
SLC39A7	ENSP00000391735	animal
ITGA2	ENSP00000296585	animal
OSTF1	ENSP00000340836	animal
ACBD3	ENSP00000355777	animal
ARHGEF2	ENSP00000315325	animal
CTIF	ENSP00000372459	animal
DOK1	ENSP00000233668	animal
NRBP1	ENSP00000233557	animal
OSBPL3	ENSP00000315410	animal
EHD1	ENSP00000320516	animal
KSR1	ENSP00000268763	animal
GMIP	ENSP00000203556	animal
MINK1	ENSP00000347427	animal
SYNRG	ENSP00000005279	animal
EIF2B5	ENSP00000273783	animal
BNIP2	ENSP00000267859	animal
GAS2L1	ENSP00000344012	animal
EIF4H	ENSP00000265753	animal
PRKAB1	ENSP00000229328	animal
SPTBN1	ENSP00000349259	animal
STXBP5	ENSP00000321826	animal
STX7	ENSP00000356918	animal
COG3	ENSP00000258654	animal
RALBP1	ENSP00000019317	animal
TAOK1	ENSP00000261716	animal
TNIK	ENSP00000399511	animal
USP24	ENSP00000385700	animal
EIF4G1	ENSP00000316879	animal
TLN1	ENSP00000316029	animal
DCTN2	ENSP00000408910	animal
ANKS1A	ENSP00000353518	animal
CD2AP	ENSP00000352264	animal
PRKCA	ENSP00000284384	animal
MAP3K7	ENSP00000358335	animal
MAPK1	ENSP00000215832	animal
SRC	ENSP00000350941	animal
TSC22D4	ENSP00000300181	animal
RAPGEF2	ENSP00000264431	animal
FKBP1A	ENSP00000371138	animal
PAK2	ENSP00000314067	animal
NCK2	ENSP00000233154	animal
TAGLN2	ENSP00000357075	animal
KRT1	ENSP00000252244	animal
PSEN1	ENSP00000326366	animal
PRRC2A	ENSP00000365175+ENSP00000387477	animal
CDS2	ENSP00000419879	animal
REPS1	ENSP00000258062	animal
TKT	ENSP00000405455	animal
MAP3K11	ENSP00000309597	animal
PDCD5	ENSP00000221784	animal
MAVS	ENSP00000401980	animal
ADAM10	ENSP00000260408	animal
OSBP	ENSP00000263847	animal
ARPC1A	ENSP00000252725	animal
MSN	ENSP00000353408	animal
PDLIM1	ENSP00000360305	animal
PPID	ENSP00000303754	animal
MYO9B	ENSP00000380444	animal
SLC9A3R1	ENSP00000262613	animal
STIM1	ENSP00000300737	animal
EIF3D	ENSP00000216190	animal
DBNL	ENSP00000407950	animal
SORT1	ENSP00000256637	animal
NCKIPSD	ENSP00000294129	animal
CAP1	ENSP00000361878	animal
NAGK	ENSP00000244204	animal
ZC3HAV1	ENSP00000242351	animal
AGFG1	ENSP00000397094	animal
EMD	ENSP00000358857	animal
SNX17	ENSP00000233575	animal
AMPD2	ENSP00000256578	animal
EIF4G3	ENSP00000264211	animal
TSC1	ENSP00000298552	animal
CLASP1	ENSP00000263710	animal
MATK	ENSP00000313859	animal
PELO	ENSP00000274311	animal
STK39	ENSP00000348278	animal
CTPS1	ENSP00000361699	animal
TMEM245	ENSP00000363714	animal
COPB2	ENSP00000329419	animal
TBC1D5	ENSP00000402935	animal
MYO18B	ENSP00000386096	animal
EXOC1	ENSP00000326514	animal
TJAP1	ENSP00000259751	animal
PPP1R2	ENSP00000328178	animal
FAM134A	ENSP00000395249	animal
BAG6	ENSP00000365131	animal
EIF5B	ENSP00000289371	animal
PRKAR1A	ENSP00000351410	animal
MAP3K2	ENSP00000343463	animal
STK10	ENSP00000176763	animal
EIF2S3	ENSP00000253039+ENSP00000323063	animal
IQGAP2	ENSP00000274364	animal
HPS4	ENSP00000338457	animal
NCAPG	ENSP00000251496	animal
FARSA	ENSP00000320309	animal
CTTN	ENSP00000301843	animal
ZFPM1	ENSP00000326630	animal
HN1	ENSP00000348316	animal
MYH9	ENSP00000216181	animal
PGRMC1	ENSP00000217971	animal
PRKAR2A	ENSP00000265563	animal
LSM14A	ENSP00000314768	animal
ARHGEF12	ENSP00000380942	animal
CCDC6	ENSP00000263102	animal
TJP2	ENSP00000366453	animal
DBN1	ENSP00000292385	animal
ALDOA	ENSP00000336927	animal
COASY	ENSP00000377404	animal
DOCK10	ENSP00000258390	animal
EIF4ENIF1	ENSP00000328103	animal
PPP1R12A	ENSP00000261207	animal
SNORA29	ENSP00000317334	animal
EIF4EBP1	ENSP00000340691	animal
RAB1A	ENSP00000387286	animal
STARD3NL	ENSP00000009041	animal
WDR1	ENSP00000382881	animal
ACSS2	ENSP00000353804	animal
SCAMP2	ENSP00000268099	animal
ASAP1	ENSP00000350297	animal
SH3GL1	ENSP00000269886	animal
SRGAP3	ENSP00000373347	animal
RCHY1	ENSP00000321239	animal
RAB32	ENSP00000356465	animal
LYN	ENSP00000376688	animal
DBI	ENSP00000311117	animal
DNM1	ENSP00000362014	animal
TOMM70A	ENSP00000284320	animal
HSPE1	ENSP00000233893	animal
TUBA4A	ENSP00000248437	animal
G6PD	ENSP00000377192	animal
IRS2	ENSP00000365016	animal
LPIN2	ENSP00000261596	animal
MARK2	ENSP00000389184	animal
PLA2G4A	ENSP00000356436	animal
NDUFA11	ENSP00000311740	animal
CSNK2A1	ENSP00000217244	animal
BCKDHA	ENSP00000269980	animal
SKIV2L	ENSP00000364543+ENSP00000394400+ENSP00000399530+ENSP00000412310	animal
EMILIN1	ENSP00000369677	animal
ERP44	ENSP00000262455	animal
PTDSS2	ENSP00000308258	animal
F11R	ENSP00000289779	animal
RAB11A	ENSP00000261890	animal
VAPB	ENSP00000417175	animal
MIF	ENSP00000215754	animal
SYTL4	ENSP00000263033	animal
ADCY6	ENSP00000311405	animal
ANK1	ENSP00000265709	animal
RAB11B	ENSP00000333547	animal
ATL1	ENSP00000351155	animal
PDHA1	ENSP00000394382	animal
ADD3	ENSP00000348381	animal
TNS1	ENSP00000171887	animal
CD9	ENSP00000009180	animal
PNP	ENSP00000354532	animal
MOB1A	ENSP00000379364	animal
MICALL2	ENSP00000297508	animal
SBDS	ENSP00000246868	animal
PLA2G4C	ENSP00000346228	animal
ASAP2	ENSP00000281419	animal
ENDOD1	ENSP00000278505	animal
RAP2B	ENSP00000319096	animal
P2RY1	ENSP00000304767	animal
SLC6A4	ENSP00000261707	animal
S100A6	ENSP00000357708	animal
CASS4	ENSP00000353462	animal
TMEM109	ENSP00000227525	animal
LYPLAL1	ENSP00000355895	animal
DDX18	ENSP00000263239	animal
MYCBP	ENSP00000380702	animal
CNN2	ENSP00000263097	animal
PDLIM5	ENSP00000321746	animal
FYN	ENSP00000357656	animal
TMEM40	ENSP00000264728	animal
SDPR	ENSP00000305675	animal
SAMHD1	ENSP00000262878	animal
ME2	ENSP00000321070	animal
P2RX1	ENSP00000225538	animal
F5	ENSP00000356771	animal
GP1BA	ENSP00000329380	animal
TBXA2R	ENSP00000364336	animal
ACTB	ENSP00000349960	animal
ALAD	ENSP00000386284	animal
CTSA	ENSP00000361562	animal
DDT	ENSP00000215773	animal
DDTL	ENSP00000215770	animal
UBASH3B	ENSP00000284273	animal
SULT1A3	ENSP00000343645	animal
SULT1A4	ENSP00000339221	animal
CAT	ENSP00000241052	animal
TUFM	ENSP00000322439	animal
HPSE	ENSP00000308107	animal
AP3D1	ENSP00000344055	animal
RPS14	ENSP00000311028	animal
SYAP1	ENSP00000369500	animal
TST	ENSP00000249042	animal
CD63	ENSP00000257857	animal
RPN2	ENSP00000237530	animal
PLOD2	ENSP00000282903	animal
ARHGAP1	ENSP00000310491	animal
PDE3A	ENSP00000351957	animal
PPP1R14A	ENSP00000301242	animal
PSMD11	ENSP00000261712	animal
CD36	ENSP00000308165	animal
FGG	ENSP00000336829	animal
CDC42EP1	ENSP00000249014	animal
SRP68	ENSP00000312066	animal
PDLIM7	ENSP00000348099	animal
HSPB1	ENSP00000248553	animal
MAGED2	ENSP00000218439	animal
ACTN1	ENSP00000377941	animal
TMBIM1	ENSP00000258412	animal
PTPN12	ENSP00000248594	animal
SNX3	ENSP00000230085	animal
ANXA3	ENSP00000264908	animal
UBE2V2	ENSP00000326473	animal
AP3B1	ENSP00000255194	animal
FBXL20	ENSP00000264658	animal
CD151	ENSP00000324101	animal
SMS	ENSP00000385746	animal
MAP2K2	ENSP00000262948	animal
SERPINB1	ENSP00000370115	animal
PPP1CA	ENSP00000326031	animal
PPP1CB	ENSP00000296122	animal
PGM2	ENSP00000371393	animal
TRIP10	ENSP00000320493	animal
TPM3	ENSP00000357513	animal
CALU	ENSP00000249364	animal
HSP90B1	ENSP00000299767	animal
GIT1	ENSP00000378338	animal
RAB31	ENSP00000304565	animal
CCT4	ENSP00000377958	animal
NPLOC4	ENSP00000331487	animal
CANX	ENSP00000247461	animal
EPS15	ENSP00000360798	animal
CLPTM1	ENSP00000336994	animal
CTSD	ENSP00000236671	animal
STOM	ENSP00000286713	animal
ALB	ENSP00000295897	animal
ARPC2	ENSP00000295685	animal
CCT6A	ENSP00000275603	animal
TXNL1	ENSP00000217515	animal
SEPT5	ENSP00000391311	animal
PSMC2	ENSP00000292644	animal
GSTP1	ENSP00000381607	animal
ECH1	ENSP00000221418	animal
P4HB	ENSP00000327801	animal
AP1M1	ENSP00000388996	animal
C3	ENSP00000245907	animal
C9	ENSP00000263408	animal
C10ORF11	ENSP00000361577	animal
FAAH	ENSP00000243167	animal
GP9	ENSP00000303942	animal
HLA-A	ENSP00000388526	animal
RARS	ENSP00000231572	animal
CDKN2D	ENSP00000337056	animal
ARHGAP6	ENSP00000338967	animal
ARPC5	ENSP00000352918	animal
IFI35	ENSP00000246911	animal
CAMK1	ENSP00000256460	animal
SELP	ENSP00000263686	animal
TREML1	ENSP00000362219	animal
UBE4A	ENSP00000252108	animal
NPHS1	ENSP00000368190	animal
LY6G6F	ENSP00000407535	animal
LY6G6D	ENSP00000364992	animal
FCER1G	ENSP00000289902	animal
GP5	ENSP00000319286	animal
UTY	ENSP00000328939	animal
GP6	ENSP00000308782	animal
PEAR1	ENSP00000292357	animal
CHMP2A	ENSP00000310440	animal
SPTB	ENSP00000374372	animal
RTN1	ENSP00000267484	animal
C6ORF25	ENSP00000406706	animal
C6orf25	ENSP00000416447	animal
IFT81	ENSP00000242591	animal
PRKCSH	ENSP00000252455	animal
KRT12	ENSP00000251643	animal
RALA	ENSP00000005257	animal
PRR4	ENSP00000228811	animal
CLIP2	ENSP00000223398	animal
GLDC	ENSP00000370737	animal
PCDHA2	ENSP00000367372	animal
PCDHB16	ENSP00000354293	animal
SHC2	ENSP00000264554	animal
TUBB1	ENSP00000217133	animal
TMSB15A	ENSP00000289373	animal
TM9SF4	ENSP00000381104	animal
LTBP1	ENSP00000346467	animal
TBXAS1	ENSP00000263552	animal
YARS	ENSP00000362576	animal
BOLA2	ENSP00000331127	animal
BOLA2B	ENSP00000306752	animal
RAP1A	ENSP00000348786	animal
PDCD10	ENSP00000338141	animal
VAMP3	ENSP00000054666	animal
CXCL5	ENSP00000296027	animal
FLNC	ENSP00000327145	animal
DOK3	ENSP00000349727	animal
SYK	ENSP00000364898	animal
UBA7	ENSP00000333266	animal
TGFB1	ENSP00000221930	animal
ARPC3	ENSP00000228825	animal
FGD3	ENSP00000336914	animal
ATP8A1	ENSP00000371084	animal
SLA	ENSP00000394049	animal
CD226	ENSP00000280200	animal
YWHAH	ENSP00000248975	animal
SEMA4D	ENSP00000343418	animal
PTPN7	ENSP00000356248	animal
FERMT3	ENSP00000279227	animal
GRAP2	ENSP00000339186	animal
SPN	ENSP00000353238	animal
FLNA	ENSP00000358866	animal
SHANK3	ENSP00000262795	animal
WAS	ENSP00000365891	animal
SNTB1	ENSP00000378965	animal
LAT	ENSP00000354119	animal
MANF	ENSP00000273628	animal
YWHAB	ENSP00000300161	animal
CARD9	ENSP00000360797	animal
ZNF185	ENSP00000359291	animal
ACLY	ENSP00000253792	animal
PRKCD	ENSP00000331602	animal
FLII	ENSP00000324573	animal
ITPKB	ENSP00000272117	animal
CGN	ENSP00000271636	animal
DNAJC5	ENSP00000354111	animal
DMTN	ENSP00000265800	animal
DNM1L	ENSP00000266481	animal
PPME1	ENSP00000381461	animal
HTT	ENSP00000347184	animal
PPIA	ENSP00000419425	animal
VASP	ENSP00000245932	animal
ADD1	ENSP00000264758	animal
PTK2B	ENSP00000332816	animal
PARG	ENSP00000384408	animal
CCT2	ENSP00000299300	animal
MYO18A	ENSP00000346291	animal
SEPT2	ENSP00000353157	animal
TMX1	ENSP00000393316	animal
KALRN	ENSP00000240874	animal
COPS3	ENSP00000268717	animal
KIF13B	ENSP00000350459	animal
MAP3K5	ENSP00000351908	animal
MAPRE2	ENSP00000300249	animal
ZDHHC8	ENSP00000334490	animal
SUSD1	ENSP00000363388	animal
HPGDS	ENSP00000295256	animal
SLC18A2	ENSP00000298472	animal
EHD3	ENSP00000327116	animal
RGS18	ENSP00000356430	animal
MLC1	ENSP00000310375	animal
PRKCB	ENSP00000305355	animal
SORD	ENSP00000267814	animal
SCRN1	ENSP00000407460	animal
PTGS1	ENSP00000354612	animal
ITGA6	ENSP00000386896	animal
RAB14	ENSP00000362946	animal
YWHAE	ENSP00000264335	animal
MTHFD1	ENSP00000216605	animal
RAB27B	ENSP00000262094	animal
UBE2G1	ENSP00000380178	animal
GSN	ENSP00000362924	animal
HSP90AB1	ENSP00000325875	animal
YWHAZ	ENSP00000309503	animal
RAP1B	ENSP00000250559	animal
ACTG1	ENSP00000331514	animal
VDAC2	ENSP00000361686	animal
VDAC1	ENSP00000265333	animal
CFL1	ENSP00000309629	animal
GNB2L1	ENSP00000366013	animal
APP	ENSP00000284981	animal
TTR	ENSP00000237014	animal
ASAH1	ENSP00000371152	animal
FGB	ENSP00000306099	animal
SEBOX	ENSP00000226218	animal
DAD1	ENSP00000250498	animal
FGA	ENSP00000306361	animal
MAPK13	ENSP00000211287	animal
CCNY	ENSP00000363836	animal
ERBB2IP	ENSP00000370330	animal
FAM208A	ENSP00000389690	animal
NCOA6	ENSP00000351894	animal
PTGES3	ENSP00000262033	animal
SUMO2	ENSP00000405965	animal
HSP90AA1	ENSP00000335153	animal
RAN	ENSP00000396127	animal
HADHB	ENSP00000325136	animal
RSU1	ENSP00000339521	animal
AAGAB	ENSP00000261880	animal
MLLT4	ENSP00000383623	animal
JMJD1C	ENSP00000382204	animal
CRTC1	ENSP00000345001	animal
BUD13	ENSP00000260210	animal
KIAA1467	ENSP00000197268	animal
PHF2	ENSP00000352185	animal
PPP1R9B	ENSP00000320510	animal
RICTOR	ENSP00000349959	animal
FOXJ3	ENSP00000354620	animal
ZNF600	ENSP00000344791	animal
NUP93	ENSP00000310668	animal
PHIP	ENSP00000275034	animal
PI4K2A	ENSP00000359665	animal
SGK223	ENSP00000330930	animal
ICE1	ENSP00000296564	animal
NLK	ENSP00000384625	animal
SASS6	ENSP00000287482	animal
PIAS1	ENSP00000249636	animal
YAF2	ENSP00000328004	animal
AGTPBP1	ENSP00000338512	animal
DDX41	ENSP00000330349	animal
ING5	ENSP00000322142	animal
RANBP10	ENSP00000316589	animal
PSD4	ENSP00000245796	animal
C2CD5	ENSP00000334229	animal
ELK1	ENSP00000247161	animal
EML4	ENSP00000320663	animal
FAM169A	ENSP00000373808	animal
OSBPL8	ENSP00000261183	animal
JADE1	ENSP00000226319	animal
PHF14	ENSP00000306296	animal
SLC4A2	ENSP00000311402	animal
R3HDM1	ENSP00000264160	animal
TRAFD1	ENSP00000257604	animal
IFI16	ENSP00000357113	animal
STRIP1	ENSP00000358810	animal
BCOR	ENSP00000367705	animal
RANBP2	ENSP00000283195	animal
EIF3F	ENSP00000310040	animal
FRA10AC1	ENSP00000360488	animal
MAT2B	ENSP00000325425	animal
ELP3	ENSP00000256398	animal
CHMP3	ENSP00000263856	animal
PUM1	ENSP00000391723	animal
TSC2	ENSP00000219476	animal
EMC1	ENSP00000420608	animal
FLI1	ENSP00000339627	animal
FRAS1	ENSP00000264895	animal
WTAP	ENSP00000351141	animal
WHSC1	ENSP00000329167	animal
AFTPH	ENSP00000238855	animal
PRDM10	ENSP00000351686	animal
PLEKHA5	ENSP00000299275	animal
USP34	ENSP00000381577	animal
NARS	ENSP00000256854	animal
PHKA2	ENSP00000369274	animal
NFKB1	ENSP00000226574	animal
PPIL4	ENSP00000253329	animal
KLC4	ENSP00000259708	animal
OTUD5	ENSP00000156084	animal
NDRG2	ENSP00000298687	animal
ADAR	ENSP00000357459	animal
KIF22	ENSP00000160827	animal
NCOA7	ENSP00000357341	animal
SMN1	ENSP00000370083	animal
SMN2	ENSP00000370119	animal
AKAP13	ENSP00000354718	animal
ARID4B	ENSP00000264183	animal
ANAPC4	ENSP00000318775	animal
DNAJA1	ENSP00000369127	animal
CCAR2	ENSP00000310670	animal
MYBBP1A	ENSP00000370968	animal
ARFGAP2	ENSP00000327309	animal
ARHGEF7	ENSP00000364893	animal
ATXN7L3	ENSP00000397259	animal
RMDN3	ENSP00000260385	animal
CCDC88A	ENSP00000338728	animal
RPS6KC1	ENSP00000355927	animal
TLK1	ENSP00000411099	animal
TNRC6B	ENSP00000338371	animal
WEE1	ENSP00000402084	animal
SMARCE1	ENSP00000323967	animal
MTMR9	ENSP00000221086	animal
TDRD7	ENSP00000347444	animal
MAP1S	ENSP00000325313	animal
PHC3	ENSP00000309482	animal
GPI	ENSP00000348877	animal
PRKAR1B	ENSP00000353415	animal
CNNM3	ENSP00000305449	animal
MKL2	ENSP00000339086	animal
SMC6	ENSP00000323439	animal
USP16	ENSP00000334808	animal
BRF1	ENSP00000329029	animal
KDM2B	ENSP00000366271	animal
KIF1C	ENSP00000320821	animal
NUP153	ENSP00000262077	animal
LPIN1	ENSP00000256720	animal
NISCH	ENSP00000339958	animal
SULT4A1	ENSP00000332565	animal
LEF1	ENSP00000265165	animal
TRAF5	ENSP00000261464	animal
ARPP21	ENSP00000187397	animal
TMEM30A	ENSP00000359067	animal
CDK5RAP2	ENSP00000343818	animal
FIP1L1	ENSP00000336752	animal
TNKS1BP1	ENSP00000350990	animal
XPC	ENSP00000285021	animal
SEC31A	ENSP00000347329	animal
SETX	ENSP00000224140	animal
IWS1	ENSP00000295321	animal
LCP1	ENSP00000315757	animal
DFNA5	ENSP00000339587	animal
NEK4	ENSP00000233027	animal
AIDA	ENSP00000339161	animal
HMBOX1	ENSP00000287701	animal
KIF21A	ENSP00000354851	animal
SERINC1	ENSP00000342962	animal
TARDBP	ENSP00000240185	animal
C1ORF35	ENSP00000272139	animal
NFIC	ENSP00000396843	animal
JAKMIP1	ENSP00000386711	animal
TOB1	ENSP00000268957	animal
SRSF2	ENSP00000350877	animal
ANXA6	ENSP00000346550	animal
CCNL2	ENSP00000383611	animal
PDIA6	ENSP00000272227	animal
RPRD1B	ENSP00000362532	animal
SLC1A4	ENSP00000234256	animal
RNF20	ENSP00000373772	animal
BRSK2	ENSP00000310697	animal
FRMPD4	ENSP00000370057	animal
MAP9	ENSP00000310593	animal
RNF208	ENSP00000375397	animal
ZNF180	ENSP00000221327	animal
MPP2	ENSP00000269095	animal
THY1	ENSP00000284240	animal
KCNAB2	ENSP00000164247	animal
MBP	ENSP00000348273	animal
KCNH2	ENSP00000262186	animal
TBC1D1	ENSP00000261439	animal
NDUFS3	ENSP00000263774	animal
AKAP8L	ENSP00000380557	animal
KIF1B	ENSP00000263934	animal
TUSC2	ENSP00000232496	animal
MLH1	ENSP00000231790	animal
RSL1D1	ENSP00000379760	animal
BCL7A	ENSP00000261822	animal
BCL7B	ENSP00000223368	animal
YAP1	ENSP00000282441	animal
