Code	Name	UniProt_ID	Ensembl_gene_ID	Ensembl_transcript_ID	Ensembl_protein_ID
A01.004	BACE1 g.p. ({Homo sapiens})	A0A024R3D7	ENSG00000186318	ENST00000313005	ENSP00000318585
A01.004	BACE1 g.p. ({Homo sapiens})	A0A024R3E8	ENSG00000186318	ENST00000513780	ENSP00000424536
A01.004	BACE1 g.p. ({Homo sapiens})	A0A024R3F9	ENSG00000186318	ENST00000428381	ENSP00000402228
A01.004	BACE1 g.p. ({Homo sapiens})	B3KQJ4			
A01.004	BACE1 g.p. ({Homo sapiens})	B7Z3K2	ENSG00000186318	ENST00000510630	ENSP00000422461
A01.004	BACE1 g.p. ({Homo sapiens})	B7Z3Z4	ENSG00000186318	ENST00000392937	ENSP00000475405
A01.004	BACE1 g.p. ({Homo sapiens})	Q5W9H2			
A01.004	BACE1 g.p. ({Homo sapiens})	Q76KP0	ENSG00000186318	ENST00000514464	ENSP00000505118
A01.004	BACE1 g.p. ({Homo sapiens})	Q8IYC8			
A01.004	BACE1 g.p. ({Homo sapiens})	Q8N698			
A01.004	BACE1 g.p. ({Homo sapiens})	Q9P0D2			
A01.004	BACE1 g.p. ({Homo sapiens})	Q9UJT5			
A01.007	renin	P00797	ENSG00000143839	ENST00000272190	ENSP00000272190
A01.007	renin	P00797	ENSG00000143839	ENST00000272190	ENSP00000272190
A01.007	renin	P00797-1	ENSG00000143839	ENST00000272190	ENSP00000272190
A01.007	renin	Q15296			
A01.007	renin	Q9UQK5			
A01.009	cathepsin D	P07339	ENSG00000117984	ENST00000236671	ENSP00000236671
A01.009	cathepsin D	P07339	ENSG00000117984	ENST00000236671	ENSP00000236671
A01.009	cathepsin D	V9HWI3	ENSG00000117984	ENST00000236671	ENSP00000236671
A01.010	cathepsin E	P14091	ENSG00000196188	ENST00000678498	ENSP00000504305
A01.010	cathepsin E	P14091	ENSG00000196188	ENST00000358184	ENSP00000350911
A01.010	cathepsin E	B4DNU8			
A01.010	cathepsin E	P14091	ENSG00000196188	ENST00000678498	ENSP00000504305
A01.010	cathepsin E	P14091	ENSG00000196188	ENST00000358184	ENSP00000350911
A01.010	cathepsin E	P14091-1	ENSG00000196188	ENST00000358184	ENSP00000350911
A01.010	cathepsin E	P14091-2	ENSG00000196188	ENST00000678498	ENSP00000504305
A01.041	BACE2 g.p. ({Homo sapiens})	Q9Y5Z0	ENSG00000182240	ENST00000328735	ENSP00000333854
A01.041	BACE2 g.p. ({Homo sapiens})	Q9Y5Z0	ENSG00000182240	ENST00000347667	ENSP00000327528
A01.041	BACE2 g.p. ({Homo sapiens})	Q9Y5Z0	ENSG00000182240	ENST00000330333	ENSP00000332979
A01.041	BACE2 g.p. ({Homo sapiens})	B3KNE8			
A01.041	BACE2 g.p. ({Homo sapiens})	Q9Y5Z0	ENSG00000182240	ENST00000328735	ENSP00000333854
A01.041	BACE2 g.p. ({Homo sapiens})	Q9Y5Z0	ENSG00000182240	ENST00000347667	ENSP00000327528
A01.041	BACE2 g.p. ({Homo sapiens})	Q9Y5Z0	ENSG00000182240	ENST00000330333	ENSP00000332979
A01.041	BACE2 g.p. ({Homo sapiens})	Q9Y5Z0-1	ENSG00000182240	ENST00000330333	ENSP00000332979
A01.041	BACE2 g.p. ({Homo sapiens})	Q9Y5Z0-2	ENSG00000182240	ENST00000347667	ENSP00000327528
A01.041	BACE2 g.p. ({Homo sapiens})	Q9Y5Z0-3	ENSG00000182240	ENST00000328735	ENSP00000333854
A01.046	napsin A	O96009	ENSG00000131400	ENST00000253719	ENSP00000253719
A01.046	napsin A	B4DV14			
A01.046	napsin A	O96009	ENSG00000131400	ENST00000253719	ENSP00000253719
A01.070	pepsin A4	P0DJD7	ENSG00000229183	ENST00000378149	ENSP00000367391
A01.070	pepsin A4	B4DVY9			
A01.070	pepsin A4	B7ZW66			
A01.070	pepsin A4	P0DJD9	ENSG00000256713	ENST00000312403	ENSP00000309542
A01.071	pepsin A5 ({Homo sapiens})	P0DJD9	ENSG00000256713	ENST00000312403	ENSP00000309542
A01.071	pepsin A5 ({Homo sapiens})	B4DVY3			
A01.071	pepsin A5 ({Homo sapiens})	P0DJD9	ENSG00000256713	ENST00000312403	ENSP00000309542
A02.011	human endogenous retrovirus K retropepsin	P63127			
A02.011	human endogenous retrovirus K retropepsin	P10265			
A02.011	human endogenous retrovirus K retropepsin	P63127			
A02.011	human endogenous retrovirus K retropepsin	P63129			
A02.011	human endogenous retrovirus K retropepsin	P87892			
A02.011	human endogenous retrovirus K retropepsin	Q3LVS6			
A02.011	human endogenous retrovirus K retropepsin	Q3LVS7			
A02.011	human endogenous retrovirus K retropepsin	Q3LVS8			
A02.011	human endogenous retrovirus K retropepsin	Q3LVS9			
A02.011	human endogenous retrovirus K retropepsin	Q3LVT0			
A02.011	human endogenous retrovirus K retropepsin	Q3LVT1			
A02.011	human endogenous retrovirus K retropepsin	Q3LVT2			
A02.011	human endogenous retrovirus K retropepsin	Q3LVT3			
A02.011	human endogenous retrovirus K retropepsin	Q3LVT4			
A02.011	human endogenous retrovirus K retropepsin	Q3LVT5			
A02.011	human endogenous retrovirus K retropepsin	Q3LVT6			
A02.011	human endogenous retrovirus K retropepsin	Q3LVT7			
A02.011	human endogenous retrovirus K retropepsin	Q3LVT8			
A02.011	human endogenous retrovirus K retropepsin	Q3LVT9			
A02.011	human endogenous retrovirus K retropepsin	Q3LVU0			
A02.011	human endogenous retrovirus K retropepsin	Q3LVU1			
A02.011	human endogenous retrovirus K retropepsin	Q3LVU2			
A02.011	human endogenous retrovirus K retropepsin	Q3LVU3			
A02.011	human endogenous retrovirus K retropepsin	Q3LVU4			
A02.011	human endogenous retrovirus K retropepsin	Q4JNY3			
A02.011	human endogenous retrovirus K retropepsin	Q9Y6I0			
A02.011	human endogenous retrovirus K retropepsin	V9H0H3			
A02.024	rabbit endogenous retrovirus endopeptidase	Q8NFP2			
A02.055	RTVL-H-type putative peptidase	Q15408			
A02.P03	endogenous retrovirus retropepsin pseudogene 3 ({Homo sapiens} chromosome 17)	Q7ZGS3			
A02.P03	endogenous retrovirus retropepsin pseudogene 3 ({Homo sapiens} chromosome 17)	Q86UH8			
A02.P03	endogenous retrovirus retropepsin pseudogene 3 ({Homo sapiens} chromosome 17)	V9GZZ7			
A22.001	presenilin 1	P49768	ENSG00000080815	ENST00000394157	ENSP00000377712
A22.001	presenilin 1	P49768	ENSG00000080815	ENST00000357710	ENSP00000350342
A22.001	presenilin 1	P49768	ENSG00000080815	ENST00000555386	ENSP00000450845
A22.001	presenilin 1	P49768	ENSG00000080815	ENST00000324501	ENSP00000326366
A22.001	presenilin 1	P49768	ENSG00000080815	ENST00000394164	ENSP00000377719
A22.001	presenilin 1	P49768	ENSG00000080815	ENST00000553855	ENSP00000452242
A22.001	presenilin 1	P49768	ENSG00000080815	ENST00000557511	ENSP00000451429
A22.001	presenilin 1	A0A024R6A3	ENSG00000080815	ENST00000700267	ENSP00000514903
A22.001	presenilin 1	A0A024R6A3	ENSG00000080815	ENST00000700268	ENSP00000514904
A22.001	presenilin 1	A0A024R6A3	ENSG00000080815	ENST00000700269	ENSP00000514905
A22.001	presenilin 1	A0A024R6A3	ENSG00000080815	ENST00000700306	ENSP00000514933
A22.001	presenilin 1	A0A024R6A3	ENSG00000080815	ENST00000554131	ENSP00000451915
A22.001	presenilin 1	A0A024R6A3	ENSG00000080815	ENST00000700317	ENSP00000514944
A22.001	presenilin 1	A0A024R6A3	ENSG00000080815	ENST00000700321	ENSP00000514948
A22.001	presenilin 1	A0A024R6A3	ENSG00000080815	ENST00000324501	ENSP00000326366
A22.001	presenilin 1	A0A024R6A3	ENSG00000080815	ENST00000700323	ENSP00000514950
A22.001	presenilin 1	A0A024R6A3	ENSG00000080815	ENST00000700375	ENSP00000514966
A22.001	presenilin 1	A0A024R6A3	ENSG00000080815	ENST00000700378	ENSP00000514968
A22.001	presenilin 1	B7Z8T5			
A22.001	presenilin 1	P49768	ENSG00000080815	ENST00000394157	ENSP00000377712
A22.001	presenilin 1	P49768	ENSG00000080815	ENST00000357710	ENSP00000350342
A22.001	presenilin 1	P49768	ENSG00000080815	ENST00000555386	ENSP00000450845
A22.001	presenilin 1	P49768	ENSG00000080815	ENST00000324501	ENSP00000326366
A22.001	presenilin 1	P49768	ENSG00000080815	ENST00000394164	ENSP00000377719
A22.001	presenilin 1	P49768	ENSG00000080815	ENST00000553855	ENSP00000452242
A22.001	presenilin 1	P49768	ENSG00000080815	ENST00000557511	ENSP00000451429
A22.001	presenilin 1	P49768-2	ENSG00000080815	ENST00000357710	ENSP00000350342
A22.001	presenilin 1	P49768-2	ENSG00000080815	ENST00000394164	ENSP00000377719
A22.001	presenilin 1	Q53FV8			
A22.001	presenilin 1	Q6F4C0			
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000524196	ENSP00000429036
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000679098	ENSP00000504303
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000678233	ENSP00000504728
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000677414	ENSP00000503116
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000679088	ENSP00000504727
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000366783	ENSP00000355747
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000422240	ENSP00000403737
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000366782	ENSP00000355746
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000626989	ENSP00000486498
A22.002	presenilin 2	B1AP22	ENSG00000143801	ENST00000366782	ENSP00000355746
A22.002	presenilin 2	B1AP22	ENSG00000143801	ENST00000626989	ENSP00000486498
A22.002	presenilin 2	B4DVM3			
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000524196	ENSP00000429036
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000679098	ENSP00000504303
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000678233	ENSP00000504728
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000677414	ENSP00000503116
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000679088	ENSP00000504727
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000366783	ENSP00000355747
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000422240	ENSP00000403737
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000366782	ENSP00000355746
A22.002	presenilin 2	P49810	ENSG00000143801	ENST00000626989	ENSP00000486498
A22.002	presenilin 2	P49810-1	ENSG00000143801	ENST00000524196	ENSP00000429036
A22.002	presenilin 2	P49810-1	ENSG00000143801	ENST00000679098	ENSP00000504303
A22.002	presenilin 2	P49810-1	ENSG00000143801	ENST00000678233	ENSP00000504728
A22.002	presenilin 2	P49810-1	ENSG00000143801	ENST00000677414	ENSP00000503116
A22.002	presenilin 2	P49810-1	ENSG00000143801	ENST00000679088	ENSP00000504727
A22.002	presenilin 2	P49810-1	ENSG00000143801	ENST00000366783	ENSP00000355747
A22.002	presenilin 2	P49810-1	ENSG00000143801	ENST00000366782	ENSP00000355746
A22.002	presenilin 2	P49810-1	ENSG00000143801	ENST00000626989	ENSP00000486498
A22.002	presenilin 2	P49810-3	ENSG00000143801	ENST00000422240	ENSP00000403737
A22.003	impas 1 peptidase	Q8TCT9	ENSG00000101294	ENST00000335574	ENSP00000335294
A22.003	impas 1 peptidase	Q8TCT9	ENSG00000101294	ENST00000340852	ENSP00000343032
A22.003	impas 1 peptidase	Q8TCT9	ENSG00000101294	ENST00000674240	ENSP00000501423
A22.003	impas 1 peptidase	Q8TCT9	ENSG00000101294	ENST00000398174	ENSP00000381237
A22.003	impas 1 peptidase	A0A0C4DGU3	ENSG00000101294	ENST00000498035	ENSP00000479020
A22.003	impas 1 peptidase	A0A0C4DGU3	ENSG00000101294	ENST00000650367	ENSP00000497632
A22.003	impas 1 peptidase	Q5JWP5			
A22.003	impas 1 peptidase	Q8TCT9-1	ENSG00000101294	ENST00000340852	ENSP00000343032
A22.003	impas 1 peptidase	Q8TCT9-2	ENSG00000101294	ENST00000398174	ENSP00000381237
A22.003	impas 1 peptidase	Q8TCT9-4	ENSG00000101294	ENST00000335574	ENSP00000335294
A22.003	impas 1 peptidase	Q8TCT9-4	ENSG00000101294	ENST00000674240	ENSP00000501423
A22.004	signal peptide peptidase-like protein 2B	Q8TCT7	ENSG00000005206	ENST00000613503	ENSP00000478298
A22.004	signal peptide peptidase-like protein 2B	Q8TCT7	ENSG00000005206	ENST00000610743	ENSP00000478510
A22.004	signal peptide peptidase-like protein 2B	Q8TCT7	ENSG00000005206	ENST00000618220	ENSP00000480813
A22.004	signal peptide peptidase-like protein 2B	Q8TCT7-1	ENSG00000005206	ENST00000613503	ENSP00000478298
A22.004	signal peptide peptidase-like protein 2B	Q8TCT7-4	ENSG00000005206	ENST00000610743	ENSP00000478510
A22.004	signal peptide peptidase-like protein 2B	Q9P1Z6			
A22.005	impas 2 peptidase	Q8TCT6	ENSG00000157837	ENST00000353487	ENSP00000288680
A22.005	impas 2 peptidase	A0A024RBP7			
A22.005	impas 2 peptidase	A8K546			
A22.005	impas 2 peptidase	Q53EP9			
A22.005	impas 2 peptidase	Q8TCT6	ENSG00000157837	ENST00000353487	ENSP00000288680
A22.005	impas 2 peptidase	Q9UG23			
A22.006	signal peptide peptidase-like protein 2C	Q8IUH8	ENSG00000185294	ENST00000329196	ENSP00000332488
A22.006	signal peptide peptidase-like protein 2C	Q8IUH8	ENSG00000185294	ENST00000329196	ENSP00000332488
A22.007	signal peptide peptidase-like protein 2A	Q8TCT8	ENSG00000138600	ENST00000261854	ENSP00000261854
A22.007	signal peptide peptidase-like protein 2A	Q8TCT8	ENSG00000138600	ENST00000261854	ENSP00000261854
A28.001	DNA-damage inducible protein 1	Q8WTU0	ENSG00000170967	ENST00000302259	ENSP00000302805
A28.001	DNA-damage inducible protein 1	Q8WTU0	ENSG00000170967	ENST00000302259	ENSP00000302805
A28.002	nuclear receptor-interacting protein 3	Q9NQ35	ENSG00000175352	ENST00000309166	ENSP00000310205
A28.003	DNA-damage inducible protein 2	Q5TDH0	ENSG00000197312	ENST00000480945	ENSP00000417748
A28.003	DNA-damage inducible protein 2	Q5TDH0	ENSG00000197312	ENST00000480945	ENSP00000417748
A28.003	DNA-damage inducible protein 2	Q5TDH0-1	ENSG00000197312	ENST00000480945	ENSP00000417748
A28.A10	nuclear receptor interacting protein 2	Q9BQI9	ENSG00000053702	ENST00000337508	ENSP00000337501
A28.004	skin SASPase	Q53RT3	ENSG00000244617	ENST00000320256	ENSP00000315383
A28.004	skin SASPase	Q53RT3	ENSG00000244617	ENST00000320256	ENSP00000315383
C01.009	cathepsin V	O60911	ENSG00000136943	ENST00000259470	ENSP00000259470
C01.009	cathepsin V	O60911	ENSG00000136943	ENST00000681927	ENSP00000505141
C01.009	cathepsin V	O60911	ENSG00000136943	ENST00000681737	ENSP00000505681
C01.009	cathepsin V	O60911	ENSG00000136943	ENST00000679661	ENSP00000506713
C01.009	cathepsin V	A0A024R141	ENSG00000136943	ENST00000259470	ENSP00000259470
C01.009	cathepsin V	A0A024R141	ENSG00000136943	ENST00000681927	ENSP00000505141
C01.009	cathepsin V	A0A024R141	ENSG00000136943	ENST00000681737	ENSP00000505681
C01.009	cathepsin V	A0A024R141	ENSG00000136943	ENST00000679661	ENSP00000506713
C01.009	cathepsin V	B2R717			
C01.009	cathepsin V	O60911	ENSG00000136943	ENST00000259470	ENSP00000259470
C01.009	cathepsin V	O60911	ENSG00000136943	ENST00000681927	ENSP00000505141
C01.009	cathepsin V	O60911	ENSG00000136943	ENST00000681737	ENSP00000505681
C01.009	cathepsin V	O60911	ENSG00000136943	ENST00000679661	ENSP00000506713
C01.013	cathepsin X	Q9UBR2	ENSG00000101160	ENST00000217131	ENSP00000217131
C01.013	cathepsin X	Q5U000			
C01.013	cathepsin X	Q9UBR2	ENSG00000101160	ENST00000217131	ENSP00000217131
C01.018	cathepsin F	Q9UBX1	ENSG00000174080	ENST00000310325	ENSP00000310832
C01.018	cathepsin F	A0A024R5G9	ENSG00000174080	ENST00000526010	ENSP00000435822
C01.018	cathepsin F	Q6FHS1			
C01.018	cathepsin F	Q9UBX1	ENSG00000174080	ENST00000310325	ENSP00000310832
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000678442	ENSP00000503897
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000679149	ENSP00000504313
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000679157	ENSP00000502968
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000676946	ENSP00000503470
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000676531	ENSP00000503439
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000677821	ENSP00000503298
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000677019	ENSP00000504473
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000677262	ENSP00000503851
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000343150	ENSP00000345344
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000677864	ENSP00000503881
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000340342	ENSP00000365061
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000676881	ENSP00000502901
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000676769	ENSP00000504405
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000677761	ENSP00000503938
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000676480	ENSP00000504279
C01.032	cathepsin L	A0A024R276	ENSG00000135047	ENST00000678442	ENSP00000503897
C01.032	cathepsin L	A0A024R276	ENSG00000135047	ENST00000679149	ENSP00000504313
C01.032	cathepsin L	A0A024R276	ENSG00000135047	ENST00000679157	ENSP00000502968
C01.032	cathepsin L	A0A024R276	ENSG00000135047	ENST00000676946	ENSP00000503470
C01.032	cathepsin L	A0A024R276	ENSG00000135047	ENST00000676531	ENSP00000503439
C01.032	cathepsin L	A0A024R276	ENSG00000135047	ENST00000677821	ENSP00000503298
C01.032	cathepsin L	A0A024R276	ENSG00000135047	ENST00000677262	ENSP00000503851
C01.032	cathepsin L	A0A024R276	ENSG00000135047	ENST00000343150	ENSP00000345344
C01.032	cathepsin L	A0A024R276	ENSG00000135047	ENST00000340342	ENSP00000365061
C01.032	cathepsin L	A0A024R276	ENSG00000135047	ENST00000676881	ENSP00000502901
C01.032	cathepsin L	A0A024R276	ENSG00000135047	ENST00000677761	ENSP00000503938
C01.032	cathepsin L	A0A024R276	ENSG00000135047	ENST00000676480	ENSP00000504279
C01.032	cathepsin L	A5PLM9			
C01.032	cathepsin L	B3KQK4			
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000678442	ENSP00000503897
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000679149	ENSP00000504313
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000679157	ENSP00000502968
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000676946	ENSP00000503470
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000676531	ENSP00000503439
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000677821	ENSP00000503298
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000677019	ENSP00000504473
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000677262	ENSP00000503851
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000343150	ENSP00000345344
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000677864	ENSP00000503881
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000340342	ENSP00000365061
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000676881	ENSP00000502901
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000676769	ENSP00000504405
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000677761	ENSP00000503938
C01.032	cathepsin L	P07711	ENSG00000135047	ENST00000676480	ENSP00000504279
C01.032	cathepsin L	Q6LAF7			
C01.032	cathepsin L	Q9HBQ7			
C01.034	cathepsin S	P25774	ENSG00000163131	ENST00000680288	ENSP00000506001
C01.034	cathepsin S	P25774	ENSG00000163131	ENST00000368985	ENSP00000357981
C01.034	cathepsin S	P25774	ENSG00000163131	ENST00000472977	ENSP00000475176
C01.034	cathepsin S	P25774	ENSG00000163131	ENST00000607427	ENSP00000475557
C01.034	cathepsin S	P25774	ENSG00000163131	ENST00000681444	ENSP00000505359
C01.034	cathepsin S	P25774	ENSG00000163131	ENST00000680288	ENSP00000506001
C01.034	cathepsin S	P25774	ENSG00000163131	ENST00000368985	ENSP00000357981
C01.034	cathepsin S	P25774	ENSG00000163131	ENST00000472977	ENSP00000475176
C01.034	cathepsin S	P25774	ENSG00000163131	ENST00000607427	ENSP00000475557
C01.034	cathepsin S	P25774	ENSG00000163131	ENST00000681444	ENSP00000505359
C01.034	cathepsin S	P25774-1	ENSG00000163131	ENST00000368985	ENSP00000357981
C01.034	cathepsin S	P25774-1	ENSG00000163131	ENST00000472977	ENSP00000475176
C01.034	cathepsin S	P25774-1	ENSG00000163131	ENST00000607427	ENSP00000475557
C01.034	cathepsin S	P25774-1	ENSG00000163131	ENST00000681444	ENSP00000505359
C01.035	cathepsin O	P43234	ENSG00000256043	ENST00000433477	ENSP00000414904
C01.035	cathepsin O	P43234	ENSG00000263238	ENST00000573499	ENSP00000460395
C01.035	cathepsin O	B4DT95			
C01.035	cathepsin O	P43234	ENSG00000256043	ENST00000433477	ENSP00000414904
C01.035	cathepsin O	P43234	ENSG00000263238	ENST00000573499	ENSP00000460395
C01.036	cathepsin K	P43235	ENSG00000143387	ENST00000676966	ENSP00000503723
C01.036	cathepsin K	P43235	ENSG00000143387	ENST00000271651	ENSP00000271651
C01.036	cathepsin K	P43235	ENSG00000143387	ENST00000676824	ENSP00000504176
C01.036	cathepsin K	P43235	ENSG00000143387	ENST00000676966	ENSP00000503723
C01.036	cathepsin K	P43235	ENSG00000143387	ENST00000271651	ENSP00000271651
C01.036	cathepsin K	P43235	ENSG00000143387	ENST00000676824	ENSP00000504176
C01.036	cathepsin K	Q6FHN2			
C01.037	cathepsin W	P56202	ENSG00000172543	ENST00000307886	ENSP00000311300
C01.037	cathepsin W	P56202	ENSG00000172543	ENST00000307886	ENSP00000311300
C01.040	cathepsin H	P09668	ENSG00000103811	ENST00000220166	ENSP00000220166
C01.040	cathepsin H	B7Z378			
C01.040	cathepsin H	P09668	ENSG00000103811	ENST00000220166	ENSP00000220166
C01.040	cathepsin H	Q68D46			
C01.040	cathepsin H	Q6IBC3			
C01.040	cathepsin H	Q6LAF8			
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000676952	ENSP00000503909
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000676825	ENSP00000503006
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000526481	ENSP00000473301
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000353047	ENSP00000345672
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000677650	ENSP00000504797
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000676691	ENSP00000503608
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000677873	ENSP00000503052
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000679128	ENSP00000504480
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000678092	ENSP00000504638
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000677671	ENSP00000503578
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000678242	ENSP00000503280
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000677366	ENSP00000504161
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000677544	ENSP00000503078
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000530640	ENSP00000435105
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000677418	ENSP00000503174
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000531089	ENSP00000433215
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000678145	ENSP00000503674
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000678929	ENSP00000503487
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000677819	ENSP00000503435
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000677415	ENSP00000502963
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000678357	ENSP00000503513
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000676755	ENSP00000504226
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000679051	ENSP00000503858
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000679140	ENSP00000503300
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000524654	ENSP00000432077
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000533455	ENSP00000432244
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000677082	ENSP00000503652
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000534382	ENSP00000435260
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000534510	ENSP00000434217
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000531502	ENSP00000435886
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000345125	ENSP00000342070
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000526645	ENSP00000431518
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000532392	ENSP00000432408
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000676843	ENSP00000504659
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000528965	ENSP00000433929
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000527215	ENSP00000433379
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000532656	ENSP00000431143
C01.060	cathepsin B	P07858	ENSG00000164733	ENST00000678615	ENSP00000504336
