Ensembl_protein_ID,Extracellular space,Cytoplasm,Plasma membrane,Lysosome,Endosome,Golgi apparatus,MEROPS_code,MEROPS_name
ENSP00000265132,1,0,1,0,0,0,I02.005,bikunin inhibitor unit 1
ENSP00000265132,1,0,1,0,0,0,I02.006,bikunin inhibitor unit 2
ENSP00000245907,1,0,1,0,0,0,I39.950,complement component C3
ENSP00000416561,1,0,1,0,0,0,S01.196,complement factor Bb
ENSP00000356671,1,0,1,0,0,0,I04.018,antithrombin
ENSP00000264691,1,0,1,0,0,0,S01.213,coagulation factor XIa
ENSP00000253496,1,0,1,0,0,0,S01.211,coagulation factor XIIa
ENSP00000264690,1,0,1,0,0,0,S01.212,plasma kallikrein
ENSP00000295640,1,0,1,0,0,0,M01.014,aminopeptidase B
ENSP00000372815,1,0,1,0,0,0,I39.UPW,family I39 unassigned peptidase inhibitors
ENSP00000278927,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000263735,1,0,1,0,0,0,I31.UPW,family I31 unassigned peptidase inhibitors
ENSP00000369699,1,1,1,0,0,0,M02.M01,UNK
ENSP00000261615,1,0,1,0,0,0,M19.001,membrane dipeptidase
ENSP00000352138,1,1,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000305988,1,0,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000419446,1,1,1,0,0,0,M12.209,ADAM9 peptidase
ENSP00000242786,1,0,1,0,0,0,P02.002,CD97 antigen (human type)
ENSP00000361850,1,0,1,0,0,0,S01.231,urokinase-type plasminogen activator
ENSP00000295962,1,1,1,0,0,0,S33.997,monoacylglycerol lipase ABHD6
ENSP00000263100,1,0,0,0,0,0,I43.950,alpha-1B-glycoprotein
ENSP00000261336,1,0,0,0,0,0,I39.003,pregnancy-zone protein
ENSP00000355627,1,0,0,0,0,0,I04.953,angiotensinogen
ENSP00000328173,1,0,0,0,0,0,S01.193,complement component activated C1s
ENSP00000319464,1,0,0,0,0,0,M14.004,carboxypeptidase N
ENSP00000319464,1,0,0,0,0,0,X28.001,carboxypeptidase N 83 kDa chain
ENSP00000393887,1,0,0,0,0,0,I25.020,alpha-2-HS-glycoprotein inhibitor unit 1
ENSP00000393887,1,0,0,0,0,0,I25.021,alpha-2-HS-glycoprotein inhibitor unit 2
ENSP00000308720,1,0,0,0,0,0,S01.127,cationic trypsin ({Homo sapiens}-type)
ENSP00000299698,1,0,0,0,0,0,I39.UPW,family I39 unassigned peptidase inhibitors
ENSP00000361761,1,0,0,0,0,0,I17.004,chelonianin inhibitor unit 2
ENSP00000361761,1,0,0,0,0,0,I17.UNW,family I17 unassigned peptidase inhibitor homologues
ENSP00000181383,1,0,0,0,0,0,M14.009,carboxypeptidase B2
ENSP00000372853,1,0,0,0,0,0,S01.194,complement component C2a
ENSP00000295633,1,0,0,0,0,0,I01.967,follistatin-related protein 1
ENSP00000295666,1,0,0,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000265029,1,0,0,0,0,0,I25.067,fetuin-B domain 2
ENSP00000265029,1,0,0,0,0,0,I25.950,kininogen inhibitor unit 1
ENSP00000250351,1,0,0,0,0,0,S01.020,kallikrein-related peptidase 12
ENSP00000342850,1,0,0,0,0,0,I04.954,corticosteroid-binding globulin
ENSP00000295777,1,0,0,0,0,0,I04.025,neuroserpin
ENSP00000264677,1,0,0,0,0,0,I04.026,serpin I2
ENSP00000298841,1,0,0,0,0,0,I04.003,kallistatin
ENSP00000261994,1,0,0,0,0,0,I04.005,protein Z-dependent peptidase inhibitor
ENSP00000266542,1,0,0,0,0,0,S01.189,complement component C1r-like peptidase
ENSP00000215727,1,0,0,0,0,0,I04.019,heparin cofactor II
ENSP00000329374,1,0,0,0,0,0,I04.955,thyroxin-binding globulin
ENSP00000254722,1,0,0,0,0,0,I04.979,pigment epithelium derived factor
ENSP00000217423,1,0,0,0,0,0,I25.008,cystatin S
ENSP00000296695,1,0,0,0,0,0,I01.011,SPINK1
ENSP00000375678,1,0,0,0,0,0,S01.029,kallikrein-related peptidase 14
ENSP00000401828,1,0,0,0,0,0,S01.174,mesotrypsin
ENSP00000362116,1,0,0,0,0,0,A01.003,gastricsin
ENSP00000378130,1,0,0,0,0,0,S01.199,complement factor I
ENSP00000342098,1,0,0,0,0,0,I02.007,hepatocyte growth factor activator inhibitor 1 inhibitor unit 1
ENSP00000342098,1,0,0,0,0,0,I02.008,hepatocyte growth factor activator inhibitor 1 inhibitor unit 2
ENSP00000354814,1,0,0,0,0,0,C115.001,MINDY-1 protein
ENSP00000265394,1,0,0,0,0,0,S10.003,vitellogenic carboxypeptidase-like protein
ENSP00000356104,1,0,0,0,0,0,M20.011,carboxypeptidase PM20D1
ENSP00000383690,1,0,0,0,0,0,S01.229,mannan-binding lectin-associated serine peptidase 2
ENSP00000373413,1,0,0,0,0,0,C78.001,UfSP1 peptidase
ENSP00000342082,1,0,0,0,0,0,I17.001,secretory leukocyte peptidase inhibitor domain 2
ENSP00000342082,1,0,0,0,0,0,I17.950,secretory leukocyte peptidase inhibitor domain 1
ENSP00000290216,1,0,0,0,0,0,C69.004,secernin 2
ENSP00000217939,1,0,0,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000313581,1,0,0,0,0,0,S01.161,kallikrein-related peptidase 2
ENSP00000322192,1,0,0,0,0,0,A01.001,pepsin A
ENSP00000309542,1,0,0,0,0,0,A01.070,pepsin A4
ENSP00000309542,1,0,0,0,0,0,A01.071,pepsin A5 ({Homo sapiens})
ENSP00000307132,1,0,0,0,0,0,I25.005,cystatin D
ENSP00000244137,1,0,0,0,0,0,M24.007,Xaa-Pro dipeptidase (eukaryote-type)
ENSP00000303206,1,0,0,0,0,0,I63.002,bothrojaracin
ENSP00000233735,1,0,0,0,0,0,I63.002,bothrojaracin
ENSP00000344829,1,0,0,0,0,0,M28.974,glutaminyl cyclase
ENSP00000321691,1,0,0,0,0,0,C56.974,Mername-AA296 non-peptidase homologue
ENSP00000286657,1,0,0,0,0,0,M12.220,ADAMTS3 peptidase
ENSP00000282470,1,0,0,0,0,0,I01.UPW,family I1 unassigned peptidase inhibitors
ENSP00000361405,1,0,0,0,0,0,M10.004,matrix metallopeptidase-9
ENSP00000260227,1,0,0,0,0,0,M10.008,matrix metallopeptidase-7
ENSP00000243924,1,0,0,0,0,0,I17.002,elafin
ENSP00000354255,1,0,0,0,0,0,M14.012,metallocarboxypeptidase Z
ENSP00000225719,1,0,0,0,0,0,M14.011,metallocarboxypeptidase D peptidase unit 1
ENSP00000225719,1,0,0,0,0,0,M14.016,metallocarboxypeptidase D peptidase unit 2
ENSP00000225719,1,0,0,0,0,0,M14.950,metallocarboxypeptidase D non-peptidase unit
ENSP00000237696,1,0,0,0,0,0,I47.002,ovocalyxin-32
ENSP00000367001,1,0,0,0,0,0,S09.973,dipeptidylpeptidase homologue DPP6
ENSP00000262768,1,0,0,0,0,0,I35.002,timp-2
ENSP00000246186,1,0,1,0,0,0,M10.023,membrane-type matrix metallopeptidase-5
ENSP00000268220,1,1,0,0,0,0,S26.009,signalase (animal) 18 kDa component
ENSP00000352936,1,1,0,0,0,0,I01.013,SPINK5 inhibitor unit 1
ENSP00000352936,1,1,0,0,0,0,I01.028,SPINK5 inhibitor unit 10
ENSP00000352936,1,1,0,0,0,0,I01.029,SPINK5 inhibitor unit 3
ENSP00000352936,1,1,0,0,0,0,I01.030,SPINK5 inhibitor unit 4
ENSP00000352936,1,1,0,0,0,0,I01.032,SPINK5 inhibitor unit 6
ENSP00000352936,1,1,0,0,0,0,I01.044,SPINK5 inhibitor unit 15
ENSP00000352936,1,1,0,0,0,0,I01.950,SPINK5 inhibitor unit 2
ENSP00000352936,1,1,0,0,0,0,I01.951,SPINK5 inhibitor unit 5
ENSP00000352936,1,1,0,0,0,0,I01.953,SPINK5 inhibitor unit 7
ENSP00000352936,1,1,0,0,0,0,I01.954,SPINK5 inhibitor unit 8
ENSP00000352936,1,1,0,0,0,0,I01.955,SPINK5 inhibitor unit 9
ENSP00000352936,1,1,0,0,0,0,I01.957,SPINK5 inhibitor unit 11
ENSP00000352936,1,1,0,0,0,0,I01.958,SPINK5 inhibitor unit 12
ENSP00000352936,1,1,0,0,0,0,I01.959,SPINK5 inhibitor unit 13
ENSP00000352936,1,1,0,0,0,0,I01.960,SPINK5 inhibitor unit 14
ENSP00000262626,1,1,1,0,0,0,S01.224,hepsin
ENSP00000268171,1,1,1,0,0,1,S08.071,furin
ENSP00000300060,1,1,1,1,0,0,M01.001,aminopeptidase N
ENSP00000265162,1,1,1,1,0,0,M01.003,aminopeptidase A
ENSP00000364028,1,1,1,1,1,0,M13.002,endothelin-converting enzyme 1
ENSP00000232003,1,1,1,1,1,0,I25.022,histidine-rich glycoprotein inhibitor unit 1
ENSP00000232003,1,1,1,1,1,0,I25.025,histidine-rich glycoprotein inhibitor unit 2
ENSP00000296456,1,1,0,0,0,0,S09.004,acylaminoacyl-peptidase
ENSP00000366124,1,1,0,1,1,0,I25.004,cystatin C
ENSP00000354347,1,1,0,0,0,0,C44.970,glutamine-fructose-6-phosphate transaminase 1
ENSP00000262288,1,1,0,0,0,0,S10.013,SCPEP1 peptidase
ENSP00000313490,1,1,0,0,0,0,C56.972,phosphoribosylformylglycinamidine synthase
ENSP00000276651,1,1,0,0,0,0,M38.973,dihydropyrimidinase
ENSP00000325548,1,1,0,0,0,0,M20.005,carnosine dipeptidase II
ENSP00000351170,1,1,0,0,0,0,M38.981,guanine deaminase
ENSP00000361151,1,1,0,0,0,0,S09.985,bile salt-dependent lipase
ENSP00000331368,1,1,0,0,0,0,I04.013,serpin B8
ENSP00000357980,1,1,0,0,0,0,S01.277,HtrA1 peptidase ({Homo sapiens}-type)
ENSP00000402551,1,1,0,0,0,0,C65.001,otubain-1
ENSP00000345292,1,1,0,0,0,0,S33.987,NDRG3 protein
ENSP00000363638,1,1,0,0,0,0,S09.025,lysophospholipase II ({Homo sapiens})
ENSP00000264265,1,1,0,0,0,0,I47.001,latexin
ENSP00000269491,1,1,0,0,0,0,I04.016,serpin B12
ENSP00000341584,1,1,0,0,0,0,I04.017,serpin B13
ENSP00000343445,1,1,0,0,0,0,I04.008,squamous cell carcinoma antigen 1
ENSP00000343445,1,1,0,0,0,0,I04.009,squamous cell carcinoma antigen 2
ENSP00000372221,1,1,0,0,0,0,I04.980,maspin
ENSP00000271064,1,1,0,0,0,0,C01.975,tubulointerstitial nephritis antigen-related protein
ENSP00000370115,1,1,0,0,0,0,I04.006,serpin B1
ENSP00000356634,1,0,0,0,0,0,M43.005,pappalysin-2
ENSP00000320043,1,1,0,0,0,0,S09.941,highly similar to acyl-protein thioesterase 1 ({Homo sapiens})
ENSP00000238651,1,1,0,0,0,0,S09.942,esterase/lipase ({Homo sapiens})
ENSP00000349658,1,1,0,0,0,0,M24.026,aminopeptidase P3
ENSP00000369739,1,1,0,0,0,0,S33.982,valacyclovir hydrolase
ENSP00000358714,1,1,0,0,0,0,S01.994,PRSS35 protein
ENSP00000370074,1,1,0,0,0,0,I04.014,serpin B9
ENSP00000261714,1,1,0,0,0,0,C01.084,bleomycin hydrolase (animal)
ENSP00000320324,1,1,0,0,0,0,M01.010,cytosol alanyl aminopeptidase
ENSP00000228740,1,1,0,0,0,0,M01.004,leukotriene A4 hydrolase
ENSP00000304782,1,1,0,0,0,0,S09.958,hypothetical protein flj40219
ENSP00000296125,1,1,0,0,0,1,C111.004,protein-glutamine gamma-glutamyltransferase 4
ENSP00000301464,1,1,0,0,0,1,I31.952,insulin-like growth factor binding protein 3
ENSP00000324414,1,1,0,0,0,1,S01.257,kallikrein-related peptidase 11
ENSP00000369843,1,1,0,0,0,0,S33.973,cytosolic epoxide hydrolase
ENSP00000350911,1,1,0,0,1,0,A01.010,cathepsin E
ENSP00000366819,1,1,0,0,0,0,C12.003,ubiquitinyl hydrolase-L3
ENSP00000261313,1,1,0,0,0,0,I51.002,phosphatidylethanolamine-binding protein
ENSP00000253693,1,1,0,0,0,0,C02.029,calpain ({Plasmodium}-type)
ENSP00000275072,1,0,0,0,0,0,M20.021,cytosolic beta-alanyl-lysine dipeptidase
ENSP00000314151,1,0,0,0,0,0,S01.162,kallikrein-related peptidase 3
ENSP00000301420,1,0,0,0,0,0,S01.160,kallikrein 1
ENSP00000223357,1,1,0,0,0,0,M14.951,aortic carboxypeptidase-like protein
ENSP00000283752,1,1,0,0,0,0,I04.008,squamous cell carcinoma antigen 1
ENSP00000234347,1,1,1,0,0,0,S01.134,myeloblastin
ENSP00000220772,1,1,1,0,0,0,I93.002,Crescent protein ({Xenopus} sp.)
ENSP00000216336,1,1,1,0,0,0,S01.133,cathepsin G
ENSP00000367992,1,1,1,0,0,1,S09.990,esterase D
ENSP00000264595,1,1,0,1,0,0,T02.001,glycosylasparaginase precursor
ENSP00000337354,1,1,0,1,0,0,S33.017,PLN02872 protein ({Homo sapiens}-type)
ENSP00000286733,1,1,0,1,0,0,C89.002,N-acylethanolamine acid amidase precursor
ENSP00000256404,1,1,0,1,0,0,I51.UPW,family I51 unassigned peptidase inhibitors
ENSP00000280800,1,1,0,1,0,0,C95.001,lysosomal 66.3 kDa protein ({Mus musculus}-type)
ENSP00000360635,1,1,0,1,0,0,S28.002,dipeptidyl-peptidase II
ENSP00000220763,1,1,0,1,0,1,M28.014,carboxypeptidase Q
ENSP00000227266,1,1,0,1,0,1,C01.070,dipeptidyl-peptidase I
ENSP00000217131,1,1,1,1,0,0,C01.013,cathepsin X
ENSP00000377055,1,1,1,1,0,0,S28.001,lysosomal Pro-Xaa carboxypeptidase
ENSP00000233997,1,1,0,1,0,0,S01.971,azurocidin
ENSP00000253719,1,1,0,1,0,0,A01.046,napsin A
ENSP00000260118,1,1,0,1,0,0,C26.001,gamma-glutamyl hydrolase
ENSP00000284440,1,1,0,0,0,0,C12.001,ubiquitinyl hydrolase-L1
ENSP00000311121,1,1,0,0,0,0,T01.978,2410072d24rik protein (mouse)
ENSP00000311313,1,0,1,0,0,0,I25.006,cystatin 6
ENSP00000264474,1,1,1,0,0,0,I25.001,cystatin A
ENSP00000156476,1,1,0,0,0,0,S01.306,kallikrein-related peptidase 13
ENSP00000312134,1,1,0,0,0,0,I63.001,pro-eosinophil major basic protein
ENSP00000220809,1,1,0,0,0,0,S01.232,t-plasminogen activator
ENSP00000261601,1,1,1,0,0,0,C19.015,ubiquitin-specific peptidase 14
ENSP00000266085,1,0,0,0,0,0,I35.003,timp-3
ENSP00000264187,1,0,0,0,0,0,I31.UPW,family I31 unassigned peptidase inhibitors
ENSP00000264187,1,0,0,0,0,0,I63.UPW,family I63 unassigned peptidase inhibitors
ENSP00000216286,1,0,0,0,0,0,I31.UPW,family I31 unassigned peptidase inhibitors
ENSP00000216286,1,0,0,0,0,0,I63.UPW,family I63 unassigned peptidase inhibitors
ENSP00000290866,1,1,1,0,1,0,M02.001,angiotensin-converting enzyme peptidase unit 1
ENSP00000290866,1,1,1,0,1,0,M02.004,angiotensin-converting enzyme peptidase unit 2
ENSP00000353224,1,1,1,0,1,0,M28.972,transferrin receptor protein
ENSP00000252519,1,1,1,0,0,0,M02.006,angiotensin-converting enzyme-2
ENSP00000263574,1,0,1,0,0,0,I02.016,amyloid precursor-like protein 2
ENSP00000223215,1,1,0,0,0,0,S33.972,mesoderm specific transcript protein
ENSP00000361845,1,1,0,0,0,0,M48.003,farnesylated-protein converting enzyme 1
ENSP00000349436,1,1,1,0,0,0,M12.215,ADAM15 peptidase
ENSP00000218230,1,1,0,0,0,0,I49.001,proSAAS
ENSP00000370473,1,0,0,0,0,0,I31.952,insulin-like growth factor binding protein 3
ENSP00000344742,1,1,1,0,1,0,M67.006,STAMBP isopeptidase
ENSP00000233809,1,1,1,0,0,0,I31.953,insulin-like growth factor binding protein 2
ENSP00000360269,1,1,1,0,0,0,I31.UPW,family I31 unassigned peptidase inhibitors
ENSP00000262304,1,1,1,0,0,1,P02.036,polycystin-1
ENSP00000364697,1,1,0,0,0,1,S01.979,protein Z
ENSP00000350894,1,1,0,0,0,0,I04.035,colligin 1
ENSP00000350894,1,1,0,0,0,0,I04.036,colligin 2
ENSP00000296754,1,1,0,0,0,0,M01.018,endoplasmic reticulum aminopeptidase 1
ENSP00000308541,1,1,1,0,0,1,S01.217,thrombin
ENSP00000218099,1,1,1,0,0,1,S01.214,coagulation factor IXa
ENSP00000295550,1,1,1,0,0,0,I02.968,collagen alpha 3(VI) chain
ENSP00000371152,1,1,0,1,0,0,C89.001,acid ceramidase precursor
ENSP00000310832,1,1,0,1,0,0,C01.018,cathepsin F
ENSP00000361562,1,1,0,1,0,0,S10.002,serine carboxypeptidase A
ENSP00000334052,1,1,0,1,1,0,C13.004,"legumain, animal-type"
ENSP00000236671,1,1,0,1,0,0,A01.009,cathepsin D
ENSP00000299427,1,1,0,1,0,0,S53.003,tripeptidyl-peptidase I
ENSP00000342070,1,1,0,1,1,0,C01.060,cathepsin B
ENSP00000345344,1,1,0,1,1,0,C01.032,cathepsin L
ENSP00000345344,1,1,0,1,1,0,I29.001,cathepsin L propeptide
ENSP00000271651,1,1,0,1,1,0,C01.036,cathepsin K
ENSP00000271651,1,1,0,1,1,0,I29.007,cathepsin K propeptide
ENSP00000357981,1,1,0,1,1,0,C01.034,cathepsin S
ENSP00000357981,1,1,0,1,1,0,I29.004,cathepsin S propeptide
ENSP00000354841,1,1,0,0,0,0,S33.983,Ccg1-interacting factor b
ENSP00000291568,1,1,0,0,0,0,I25.003,cystatin B
ENSP00000302886,1,1,0,0,0,0,M24.973,proliferation-association protein 1
ENSP00000263621,1,1,0,0,0,0,S01.131,elastase-2
ENSP00000216455,1,1,0,0,0,0,T01.977,proteasome subunit alpha 3
ENSP00000271308,1,1,0,0,0,0,T01.975,proteasome subunit alpha 5
ENSP00000359910,1,1,0,0,0,0,T01.974,proteasome subunit alpha 7
ENSP00000262193,1,1,0,0,0,0,T01.986,proteasome subunit beta 1
ENSP00000290541,1,1,0,0,0,0,T01.987,proteasome subunit beta 4
ENSP00000355325,1,1,0,0,0,0,T01.012,proteasome subunit beta5c
ENSP00000270586,1,1,0,0,0,0,T01.010,proteasome subunit beta1c
ENSP00000362334,1,1,0,0,0,0,T01.984,proteasome subunit beta 2
ENSP00000219313,1,1,0,0,0,0,M67.973,26S proteasome non-ATPase regulatory subunit 7
ENSP00000386541,1,1,0,0,0,0,M67.A10,F37A4.5 protein ({Caenorhabditis elegans})
ENSP00000259457,1,1,0,0,0,0,T01.011,proteasome subunit beta2c
ENSP00000259457,1,1,0,0,0,0,T01.017,protein serine kinase c17
ENSP00000223321,1,1,0,0,0,0,T01.972,proteasome subunit alpha 2
ENSP00000044462,1,1,0,0,0,0,T01.973,proteasome subunit alpha 4
ENSP00000261479,1,1,0,0,0,0,T01.971,proteasome subunit alpha 6
ENSP00000304102,1,1,0,0,0,0,M67.972,COP9 signalosome subunit 6
ENSP00000340278,1,1,1,0,0,0,C56.002,DJ-1 putative peptidase
ENSP00000338983,1,1,1,0,0,1,S71.001,MUC1 self-cleaving mucin
ENSP00000393417,1,1,0,0,0,0,C14.018,caspase-14
ENSP00000237289,1,1,0,1,0,0,C64.003,A20 peptidase
ENSP00000353452,1,1,0,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000319977,1,1,1,0,1,0,S33.988,Mername-AA229 peptidase homologue
ENSP00000206765,1,0,1,0,0,0,C111.008,protein-glutamine gamma-glutamyltransferase K/1
ENSP00000309539,1,1,0,0,0,0,M38.975,dihydropyrimidinase related protein-2
ENSP00000264705,1,1,0,0,0,0,C26.952,dihydro-orotase (N-terminal unit) ({Homo sapiens}-type)
ENSP00000264705,1,1,0,0,0,0,M38.972,dihydro-orotase
ENSP00000279247,1,1,1,0,0,0,C02.001,calpain-1
ENSP00000355330,1,1,1,0,0,0,C111.002,transglutaminase 2
ENSP00000226299,1,1,0,0,0,0,M17.001,leucyl aminopeptidase 3
ENSP00000295006,1,1,1,0,0,1,C02.002,calpain-2
ENSP00000353731,1,1,1,1,0,0,S09.003,dipeptidyl-peptidase IV (eukaryote)
ENSP00000323929,1,1,0,0,0,0,I39.001,alpha-2-macroglobulin
ENSP00000278407,1,1,0,0,0,0,I04.024,C1 inhibitor
ENSP00000278407,1,1,0,0,0,0,I04.UPW,family I4 unassigned peptidase inhibitors
ENSP00000332139,1,1,0,0,0,0,S01.191,complement factor D
ENSP00000223095,1,1,1,0,0,0,I04.020,plasminogen activator inhibitor-1
ENSP00000321853,1,1,0,0,0,0,I04.023,plasmin inhibitor
ENSP00000218388,1,1,0,0,0,0,I35.001,timp-1
ENSP00000348068,1,1,0,0,0,1,I04.001,alpha-1-peptidase inhibitor
ENSP00000264870,1,1,0,0,0,0,C111.001,coagulation factor XIIIa
ENSP00000222390,1,1,0,0,0,0,S01.976,hepatocyte growth factor
ENSP00000308024,1,1,0,0,0,1,S08.072,PCSK1 peptidase
ENSP00000262545,1,1,0,0,0,0,S08.073,PCSK2 peptidase
ENSP00000308938,1,1,1,0,0,0,S01.233,plasmin
ENSP00000261405,1,1,1,0,0,0,I08.950,von Willebrand factor
ENSP00000261405,1,1,1,0,0,0,I08.954,von Willebrand factor inhibitor unit 2
ENSP00000348170,1,1,0,0,0,0,S01.972,haptoglobin-1
ENSP00000231751,1,1,0,0,0,0,S60.001,lactoferrin
ENSP00000231751,1,1,0,0,0,0,S60.970,"lactotransferrin precursor, domain 2"
ENSP00000231061,1,1,0,0,0,0,I01.UPW,family I1 unassigned peptidase inhibitors
ENSP00000333203,1,1,1,0,0,0,I04.004,protein C inhibitor
ENSP00000303208,1,1,1,1,1,1,S08.039,PCSK9 peptidase
ENSP00000415786,1,1,1,0,0,0,I04.021,protease nexin-1
ENSP00000220166,1,1,0,1,0,0,C01.040,cathepsin H
ENSP00000265077,1,1,0,1,0,1,I63.UPW,family I63 unassigned peptidase inhibitors
ENSP00000331210,1,1,0,1,0,1,I63.UNW,family I63 unassigned peptidase inhibitor homologues
ENSP00000368678,1,1,1,1,0,1,I01.UPW,family I1 unassigned peptidase inhibitors
ENSP00000231368,1,1,1,1,1,0,M01.011,cystinyl aminopeptidase
ENSP00000259470,1,1,1,1,0,0,C01.009,cathepsin V
ENSP00000259470,1,1,1,1,0,0,I29.010,cathepsin V propeptide
ENSP00000312435,1,1,1,0,0,0,S72.001,dystroglycan
ENSP00000374989,1,0,0,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000234701,1,1,1,0,0,0,M87.001,chloride channel accessory protein 1
ENSP00000386104,1,1,1,0,0,1,M14.005,carboxypeptidase E
ENSP00000009530,1,1,1,1,1,1,I31.002,MHC II invariant chain p41 form
ENSP00000261854,1,1,1,1,1,1,A22.007,signal peptide peptidase-like protein 2A
ENSP00000255304,1,0,0,0,0,0,C98.001,USPL1 peptidase
ENSP00000265986,1,1,1,0,0,0,M16.002,insulysin
ENSP00000265986,1,1,1,0,0,0,M16.982,insulysin unit 2
ENSP00000265986,1,1,1,0,0,0,M16.984,insulysin unit 3
ENSP00000364709,1,1,1,0,0,1,S01.216,coagulation factor Xa
ENSP00000382356,1,1,0,0,0,0,I02.974,LOC222978 protein ({Homo sapiens}) and similar
ENSP00000332371,1,1,0,0,0,0,I02.967,collagen alpha 1(VII) chain
ENSP00000406861,1,1,0,0,0,1,I08.952,mucin 6
ENSP00000406861,1,1,0,0,0,1,I08.955,mucin 6 ({Homo sapiens})
ENSP00000215743,1,1,0,0,0,1,M10.007,matrix metallopeptidase-11
ENSP00000364731,1,1,1,0,0,1,S01.215,coagulation factor VIIa
ENSP00000234071,1,1,1,0,0,1,S01.218,protein C (activated)
ENSP00000482760,1,1,0,0,0,1,S08.075,PCSK6 peptidase
ENSP00000286614,1,1,1,0,0,1,M10.016,membrane-type matrix metallopeptidase-3
ENSP00000365943,1,1,0,0,0,1,S08.076,PCSK5 peptidase
ENSP00000303211,1,1,1,0,0,1,S09.979,acetylcholinesterase
ENSP00000367668,1,1,0,0,0,1,M13.008,neprilysin-2
ENSP00000330658,1,1,0,0,0,0,M43.004,pappalysin-1
ENSP00000292408,1,1,1,0,1,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000295408,1,1,1,0,0,0,I43.UPW,family I43 unassigned peptidase inhibitors
ENSP00000305714,1,1,1,0,0,1,M12.005,procollagen C-peptidase
ENSP00000233156,1,1,1,0,0,0,I02.011,tissue factor pathway inhibitor-1 inhibitor unit 1
ENSP00000233156,1,1,1,0,0,0,I02.012,tissue factor pathway inhibitor-1 inhibitor unit 2
ENSP00000233156,1,1,1,0,0,0,I02.950,tissue factor pathway inhibitor-1 unit 3
ENSP00000297767,1,0,0,0,0,0,S01.989,Prss37 protein
